w1,w2,w3,w4
24.065624619285074,0.0015340967269955924,-1.0391097817445574e-07,2.9228216243052184e-12
24.45745453566217,0.0014735156361564028,-9.912345820671932e-08,2.8024905559574202e-12
24.523533042989648,0.0014412791494643293,-9.668195377599118e-08,2.7468985151616292e-12
24.42580014068247,0.0014367528230217435,-9.663412985219626e-08,2.751629382054005e-12
24.302709928192094,0.0014296802017643967,-9.610128738176691e-08,2.744364731788906e-12
24.29848375467536,0.001432942266442909,-9.608123084784657e-08,2.743692145384195e-12
24.374207113203116,0.0014222731983584435,-9.532199535255727e-08,2.729482340491884e-12
24.50981954203805,0.001395697437982693,-9.353690929880951e-08,2.6835333114103562e-12
24.433336126870504,0.0014002747849796516,-9.400438121485359e-08,2.7019665341995527e-12
24.36736431608974,0.0013983131519309216,-9.417188937033326e-08,2.717399860555435e-12
24.223683087293132,0.001397993760122425,-9.388907376306113e-08,2.7126063573412142e-12
24.543748715457625,0.0013839893165900773,-9.262154288824598e-08,2.6744355503728136e-12
24.54269896953398,0.0013760807020520975,-9.245648021702686e-08,2.6858408185814463e-12
24.251045884220947,0.0014002570162546882,-9.39421441480494e-08,2.7240977411432293e-12
24.282354938573548,0.0013785148896821348,-9.260980709339837e-08,2.6966720149630236e-12
24.140585088597934,0.0013846763158613746,-9.296445979969378e-08,2.7103921646077682e-12
24.160300210878205,0.0013852386897316082,-9.327710648288632e-08,2.729955222841101e-12
24.180046767619046,0.0013900463569948517,-9.380265747459172e-08,2.7505282101928476e-12
24.15591464154257,0.0013927672508496104,-9.401492172610273e-08,2.762081404935069e-12
24.40202408458864,0.0014013048481567112,-9.22857674857662e-08,2.5893213652752755e-12
24.780682404869278,0.0013796211744651415,-9.112929682959974e-08,2.5942440452120508e-12
24.428603308678305,0.0013814576203019953,-9.140593315190695e-08,2.6089236613316654e-12
24.090806999540703,0.001388147025921323,-9.182435889009821e-08,2.6289324901486646e-12
23.93012832513169,0.001394745272253127,-9.238219734299337e-08,2.6529873684429685e-12
23.892545575409237,0.0013975685545393576,-9.323249401453762e-08,2.6929839403876495e-12
23.81508784720365,0.0013936846060021242,-9.254486842458586e-08,2.670596292574273e-12
23.6915564180234,0.0014019819346479208,-9.359635874334696e-08,2.7178228056093357e-12
23.63956513932363,0.0014059509219420752,-9.417045037363311e-08,2.744619570206499e-12
23.691417784345212,0.001396370056393282,-9.298775497106608e-08,2.7099231635965867e-12
23.681873545206777,0.0014066174344085612,-9.426120404476139e-08,2.759161952985354e-12
23.761340701417115,0.0014422977001611582,-9.916323808460662e-08,2.917990360788876e-12
24.15629149952563,0.0014317330875537144,-9.973886187288205e-08,2.9501502551670193e-12
23.96006393428204,0.0014279460930345727,-9.949678281821185e-08,2.9528540689466642e-12
23.48990786280288,0.0014461067377446806,-1.0095280600248435e-07,3.008119283022524e-12
23.493877534575432,0.0014656250136052193,-1.0544618010190268e-07,3.1936517069820163e-12
23.913479245339413,0.0014549897298332679,-1.0240191250492639e-07,3.0792511844126123e-12
23.679671740567375,0.001456975044930767,-1.0347198844411261e-07,3.1452982347742356e-12
23.457032763736162,0.0014674114761982914,-1.0392491096767613e-07,3.1641699946271758e-12
23.197678358327636,0.0014887625049861723,-1.0581591214057412e-07,3.2405102424222804e-12
23.364672595391482,0.0014978015141452186,-1.0645727533179349e-07,3.2743041390019102e-12
23.93804194205543,0.0014938318973648005,-1.0635334068967031e-07,3.275170049899446e-12
24.18052220413709,0.0014833315325660707,-1.0593542892373319e-07,3.2728003095465235e-12
23.931536688942955,0.0014350143693972923,-1.0053964709985652e-07,3.081824338588694e-12
23.746020733316254,0.0014993925359906913,-1.0985172658820846e-07,3.420469578716407e-12
23.27253867445418,0.0015197348295966,-1.1118617344430029e-07,3.490035287408106e-12
23.16289142211064,0.0015312123231676362,-1.1240543632799519e-07,3.543106921861815e-12
23.135031305787336,0.001538806174535432,-1.1313454466268626e-07,3.5876337999254947e-12
26.719982905017403,0.0013921536974805027,-1.007892091896303e-07,3.1241988818270614e-12
25.672677496100697,0.0014418220233864613,-1.05290155560246e-07,3.2580312044293824e-12
