w1,w2,w3,w4,w5,w6,w7,w8,w9
2.5832774945399293,21.34794682535136,-219.29422222251912,1151.740678104066,-3378.4893463197272,5767.621429410392,-5676.2446660241085,2978.2326699532387,-643.3994170820442
2.63840637536072,20.926159734625024,-219.86752012980276,1171.6066632747024,-3474.220698066602,5985.934171814403,-5942.327002489557,3145.3059260884847,-685.8973615067371
2.6121696410179913,21.91026203021356,-231.6848616124989,1239.9249664964666,-3691.565290618987,6386.675500099295,-6368.823968561257,3388.302773780355,-743.2533916922665
2.561494932763231,23.714421331089714,-253.68978675801014,1368.506146167491,-4102.648691002058,7145.254592713802,-7174.546574460967,3845.546136084358,-850.6021498029932
2.543718009561033,24.318103470094673,-260.7521256800537,1408.504807588412,-4227.49090040781,7371.258101375528,-7410.8915323024985,3977.9684510717834,-881.3631765059293
2.652814248708469,19.84097906272166,-203.14145278134714,1064.4273100965115,-3116.7616761065265,5313.000158339648,-5221.778992448195,2736.0738299128693,-590.2095543051436
2.6288314126735153,20.706807500222602,-213.24501097332632,1121.5158184810796,-3295.1131002953402,5637.050891502498,-5562.4472213166,2928.131886682951,-635.126363332585
2.588434548486117,22.215643632958354,-231.80251256005818,1229.9201327340763,-3640.727795994565,6272.66050077613,-6235.237425596446,3308.6820025367774,-724.1971009860273
2.6261784045287597,21.88541435887657,-232.80258788784462,1251.1717060770413,-3738.2626281499297,6488.700048252334,-6491.767414659526,3465.666100494625,-763.1163179552483
2.5858082247747136,23.217289413345025,-248.567734175783,1341.5943641491788,-4023.6324202424066,7010.188081903621,-7041.344311631945,3775.4951636926494,-835.4376154445017
2.5378769107916783,24.986811552854313,-270.8157212825959,1473.8431422947351,-4450.671124852778,7802.785265792495,-7885.886725322628,4255.4687054305205,-948.1525976749637
2.599057067555091,22.72905832524733,-242.22752737717497,1303.3640773415805,-3899.1368144677667,6777.6280512954945,-6792.207860146922,3633.275483223686,-801.9227356031173
2.610830202586025,22.699094318455526,-243.6964944565985,1317.3860002502104,-3954.412306942256,6892.6274704851885,-6924.423106213864,3712.7168409121878,-821.408104811005
2.5490400254970935,24.6782783990525,-267.0772216817409,1451.7762115338965,-4379.587581129464,7671.020290231718,-7745.603349898292,4175.815925420691,-929.4753776024365
2.6501618510569096,20.357965739915386,-210.68036905015003,1111.5141322316351,-3272.357557482727,5605.808994848283,-5537.112086157007,2917.1299875276736,-633.2053705471279
2.593083520752738,22.430091075233467,-236.31102579677957,1262.111676239692,-3754.752361510566,6496.104899387169,-6481.88854207347,3452.4380668204662,-758.623464217577
2.584439863535479,23.53074909939352,-253.63019055707596,1374.7825427414775,-4136.127229821976,7224.584740050322,-7273.29903909057,3908.5436080621084,-866.8702343580078
2.6671139818272525,19.81602854253607,-204.3291486275089,1075.2071266274327,-3157.9312406436093,5396.753200940377,-5316.676415436704,2792.7305428266654,-604.1304806586935
2.5973994199932093,22.160033497299434,-232.41463886406467,1237.733345178668,-3674.2157900534194,6344.866787901345,-6319.668690738326,3359.886613711165,-736.842216140234
2.5886251378025595,22.940493947617743,-243.24330339032988,1304.4058032404635,-3894.384152430016,6761.32068643662,-6771.166727265107,3620.650555814085,-799.0146601587127
2.5529362870212595,24.672043946581944,-266.3503169729804,1445.072900481445,-4354.550070967466,7623.0786366109505,-7695.981687777671,4149.527255982637,-923.9269080839432
2.6530773058385693,20.2491263141404,-208.32227242530482,1094.4551778265268,-3213.0327020555583,5493.229968364918,-5417.566999032193,2850.4057987413003,-617.9676756388839
2.586438814994393,23.567021578684315,-253.9210562725541,1376.065140392662,-4140.735217247444,7235.731856081981,-7288.754493284863,3919.5771372022787,-870.0205670462545
2.5273631563559404,25.442159858557535,-275.6633957101419,1498.883450778832,-4523.6476578863485,7928.277004150329,-8012.006887368645,4324.001488708235,-963.7201243413413
2.6183569661147934,21.371537324751408,-222.01312539669564,1174.4719284904852,-3467.9331758232206,5960.3199114562385,-5909.078012402368,3126.338294356582,-681.9936578157477
2.580483635664706,23.661654441752948,-254.608337784339,1378.0819342911598,-4141.897124538606,7229.3186360481905,-7273.811230886454,3906.9432339160244,-866.1727611753203
2.646750329555385,20.63040847364011,-214.4948818501563,1134.9615471843738,-3349.176757582595,5748.824604182591,-5688.84262844231,3002.6366218388835,-653.0831470636606
2.577114432895808,22.606294155270184,-235.8245995140432,1250.3345583287467,-3699.1229718296827,6370.497699656198,-6330.419399842376,3358.5835876442757,-735.1319278446665
2.5694420826206565,24.065735321830214,-259.753404746512,1408.6214184599667,-4239.634820128357,7408.356128073289,-7461.694785187662,4012.0287604190926,-890.4617822934797
2.6160529330842888,21.479486868159952,-223.65674087312556,1184.3726277015933,-3498.2139368389617,6011.67663867477,-5957.965110555401,3150.7608084988724,-686.9682061840274
2.6923016239791533,18.61448337268114,-189.3928698435391,995.0456617742611,-2936.9718796070483,5064.876301411556,-5050.705968176707,2693.1504359151922,-593.2459017377855
2.670787013978455,19.64301887050123,-202.64309949556747,1074.1067097371022,-3192.6250878664537,5540.912012896063,-5561.003826001591,2985.6710284465466,-662.6715244522593
2.6933027225184687,18.90742380219625,-194.38070182918918,1028.0029141106,-3048.683255844793,5278.040464958958,-5282.548615701505,2827.382078374174,-625.3523363394941
2.6396270089529756,20.52642476024619,-213.26887062574826,1135.8376214388313,-3388.252349373206,5897.562716341258,-5934.46259005591,3194.3482686382376,-710.8731971742466
2.684631163405409,18.93393394175894,-194.00652453310414,1023.6054069689276,-3029.2618456530204,5233.685325586394,-5227.345753784164,2791.8875977363405,-616.1213079766936
2.640487962968853,20.5981880354932,-214.44090769086685,1143.41554339984,-3413.614418153063,5945.558945183738,-5986.328591135934,3224.224265357327,-717.9952726637306
2.598923226458772,21.787438094767865,-228.01267543638986,1219.8654711880445,-3651.9445504059845,6376.74573494218,-6436.736970913764,3476.101085314271,-776.3481787412823
2.6815903673947314,19.027800032009804,-195.48978942873208,1033.4958001892164,-3062.8433790844197,5296.972316226392,-5294.518201204718,2829.5054058293017,-624.7698356178203
2.6466030611721916,20.19397234652504,-209.7813564472293,1117.2172784768,-3330.340377283235,5789.214205733459,-5815.19535711795,3123.528517181145,-693.4245826101234
2.675253344682168,19.15694462066099,-196.87842332326736,1041.0362503640238,-3085.32227224082,5335.3954240377225,-5332.044037071713,2848.9629046173777,-628.9205670306809
2.6344138120786607,20.62156097042066,-214.5084827578925,1143.0877295456376,-3409.668176031446,5931.895383080374,-5964.527728654893,3207.688424757943,-713.1635373926094
2.643022932183244,20.177805103662763,-208.4894942082616,1106.3666467099522,-3289.7347612032518,5707.96432951005,-5725.0669684950635,3071.279671882008,-681.0792762976658
2.609368564866938,21.028670027018205,-215.82329085939034,1131.654201437953,-3315.0328515530255,5652.560266896059,-5557.786018390765,2914.6944774961894,-629.8010930266151
2.628812766138212,20.364182896898814,-209.8115040225291,1111.4972795130095,-3300.901150102604,5721.288014819788,-5732.927300505499,3072.7494161141803,-680.8259542389231
2.612998590489845,20.79539212603791,-215.03720743600684,1141.784390631821,-3396.2102565744053,5893.461186330491,-5911.40969188265,3171.4496886972834,-703.3881389825139
2.6677173598028374,18.979912809955437,-193.76513052522353,1020.3478907790552,-3013.2863583307194,5192.682395121706,-5170.825148533391,2752.457906837912,-605.1967917389127
2.6410777872242464,19.6931771562481,-201.62892507011497,1064.046038111796,-3148.9504460117505,5438.196913762893,-5427.90060763299,2896.7035884216134,-638.7401553692451
2.6784981169657374,19.125970354532377,-194.99209269730324,1025.874896912883,-3033.1526827489192,5242.129377805548,-5242.193619278197,2805.382753748828,-620.7992584487185
2.6992820735829137,18.563474908896353,-189.02693053799572,992.7750076780127,-2927.941973545547,5045.000061043429,-5027.69343544779,2680.2807392862387,-590.5905870503248
2.697039447355409,18.462055026707635,-187.92164294750845,986.8899072076641,-2909.1493695770932,5007.889388543635,-4984.055971658915,2652.5515736315883,-583.2983318695423
2.6680370730881298,19.167995885738534,-195.40234146145792,1027.096530983776,-3030.196974625188,5220.677637921419,-5200.792515421165,2770.9871655804163,-610.1414145974542
2.673544952946357,18.91725136416926,-192.8462788165802,1014.1447492016887,-2992.374950163434,5154.132622310062,-5131.317906053735,2731.4385987850987,-600.7041607711814
2.632319150373882,20.11000314266228,-206.12721186909323,1087.732462345728,-3219.576520603888,5563.095593067537,-5557.5907070026215,2969.754397184784,-655.9681604838327
2.6294476854023965,20.17404906456428,-206.71157713663231,1090.5443999689764,-3227.38642527846,5576.103592155502,-5570.429973519435,2976.68688174603,-657.5481629134762
2.656665797677768,19.236054950439648,-196.2526658845841,1033.2822857427757,-3052.3328769988834,5262.839469556429,-5244.653075097014,2794.471491499178,-615.1840579671871
2.6128607315322068,20.779527896380248,-215.14170533698515,1143.250074362474,-3401.8779951222086,5903.819849524613,-5921.227726049275,3176.1006123875914,-704.2564382523364
2.5939256430126796,20.938780006635927,-215.24603845689546,1138.7601707267481,-3377.648949881872,5846.255629067348,-5849.5242546141335,3130.5048065790484,-692.5735715312927
2.593918283171341,20.758531890691238,-212.12581624287,1117.9278815426085,-3306.496960120691,5709.872721249438,-5701.138308363492,3044.9153815516665,-672.24598890238
2.621898852768303,19.750935702709782,-199.8071978378713,1046.1002692094273,-3077.522114984984,5288.593001668438,-5254.956120216572,2792.415475030874,-613.1318210744724
2.604907228944433,20.71453695972895,-213.9437526838127,1136.0982749884984,-3379.046612897694,5861.001522064444,-5874.17108873795,3148.148615800395,-697.3455393777364
2.6469385081083416,18.54146851501298,-184.39172913583113,954.6404462049139,-2782.3754235387196,4739.570365157439,-4667.342353240664,2456.451467087137,-533.6736177337908
2.609927193179674,20.195862703737966,-206.96438855579362,1093.6825691552783,-3239.479447069236,5596.564290786518,-5586.113399327518,2980.672509543403,-657.105308514344
2.6251274542449647,19.19101537936534,-192.0783697088839,998.7003766799545,-2920.8901625982608,4991.089906128731,-4930.303946371192,2603.370068684943,-567.6379815734082
2.6019295241041704,20.16379198366025,-205.49478377318343,1082.3290310502018,-3198.6017737607717,5516.369585965612,-5497.92971616284,2929.607651828695,-644.982760933745
2.5998045265076852,19.85883535098935,-199.44960756000208,1039.7205911976114,-3048.117746711705,5220.827333420063,-5170.197602331057,2737.5849938503716,-598.7593885966363
2.6460762618589317,18.135483960804027,-178.56552856002776,918.4129265517346,-2661.6608183210246,4508.8203310002045,-4414.138210479077,2308.264389617113,-497.84586531530016
2.638667251892248,18.191521836571756,-178.78237493564689,918.6907528651417,-2660.9095937669217,4505.34167178497,-4408.592261399514,2304.149174669533,-496.65937709204945
2.6348375095608105,18.131893018156855,-177.32284155842535,908.0388418544155,-2622.60126546804,4428.930233443838,-4322.551144427048,2252.9578467359815,-484.1490797445366
